nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles

nm0344802	Dorka Gryllus	1972	\N	actress	tt1337338,tt4935200,tt3257610,tt1244668

nm0345059	Alexander Grünberg	1977	\N	actor	tt0806910,tt1242463,tt1291466,tt4214012

nm0345573	Gabriella Gubás	1974	\N	actress,soundtrack	tt0117812,tt0467116,tt0183330,tt1111392

nm0345695	Sverrir Gudnason	1978	\N	actor,soundtrack	tt5727282,tt3265506,tt2058617,tt5177088

nm0346519	Mateo Guez	1972	\N	casting_department,director,actor	tt2239822,tt1543597,tt0402556,tt3479676

nm0346572	Lavinia Guglielman	1985	\N	actress	tt0118105,tt3224416,tt2915058,tt0263274

nm0346994	Marie Guillard	1972	\N	actress,soundtrack	tt0884335,tt2172934,tt2404311,tt0119116

nm0347069	Sophie Guillemin	1977	\N	actress,director,writer	tt0216800,tt0291579,tt0168740,tt1798191

nm0347149	Sienna Guillory	1975	\N	actress,producer	tt1220634,tt0449010,tt0314331,tt0318627

nm0347364	Silvio Guindane	1983	\N	actor,writer,director	tt0289800,tt2210527,tt2096691,tt0115929

nm0347480	Emilio Guirao	1975	\N	cinematographer,camera_department,actor	tt2392451,tt0361862,tt2006762,tt0430576

nm0347957	Devon Gummersall	1978	\N	actor,director,writer	tt3639656,tt2281375,tt0804503,tt0108872

nm0348347	Mehmet Günsür	1975	\N	actor,producer,soundtrack	tt5927352,tt0363852,tt0119248,tt1807950

nm0349522	Javier Gutiérrez	1971	\N	actor,soundtrack,director	tt2094766,tt3253930,tt5451244,tt6793580

nm0350044	Daniel Guzmán	1973	\N	actor,director,writer	tt0118239,tt0252912,tt3211400,tt0389416

nm0350080	Luis Roberto Guzmán	1973	\N	actor	tt0378226,tt0459675,tt1032838,tt1150938

nm0350351	Robert Gwisdek	1984	\N	actor,soundtrack,director	tt2214952,tt6463494,tt3194596,tt2069747

nm0350453	Jake Gyllenhaal	1980	\N	actor,producer,camera_department	tt2872718,tt0388795,tt1392214,tt0246578

nm0350551	János Gyuriska	1972	\N	actor	tt0410730,tt0282100,tt0388202,tt1530545

nm0350626	Diana Gálvez	1971	1995	actress,director,writer	tt1179299,tt0402703,tt0110036,tt0108351

nm0350692	Saga Gärde	1979	\N	actress,soundtrack,director	tt0499025,tt0310525,tt2627866,tt7023696

nm0351055	Eleazar Gómez	1986	\N	actor	tt0341688,tt0327274,tt0211854,tt0414766

nm0351868	Ville Haapasalo	1972	\N	actor,producer,writer	tt0185584,tt0114055,tt2343707,tt0308476

nm0351869	Minna Haapkylä	1973	\N	actress,producer,director	tt0366701,tt0307076,tt1379689,tt0170223

nm0352219	Fritzi Haberlandt	1975	\N	actress	tt1700458,tt0222096,tt0325734,tt1579944

nm0353201	Yuria Haga	1987	\N	actress	tt0401021,tt1526067,tt2139913,tt2028507

nm0353415	Justin Hagan	1975	\N	actor	tt1119644,tt0320244,tt4191702,tt0367027

nm0353548	Michael Hagerty	1971	\N	actor,producer,miscellaneous	tt0115285,tt3726008,tt0115151,tt9476394

nm0353631	Dylan Haggerty	1984	\N	actor,stunts	tt3658914,tt0113223,tt1352749,tt1890571

nm0353717	Masato Hagiwara	1971	\N	actor	tt0202364,tt0123948,tt0113745,tt0107346

nm0354451	Szabolcs Hajdu	1972	\N	actor,director,writer	tt0464955,tt0269500,tt5537614,tt0997035

nm0354560	Yoshihiko Hakamada	1973	\N	actor	tt0347618,tt0113922,tt1360089,tt0107085

nm0354640	Mikko Hakola	1978	\N	actor,soundtrack	tt0199700,tt0168123,tt2016851,tt0243624

nm0354754	Trond Halbo	1977	\N	actor	tt2377081,tt6490298,tt0177446,tt5627386

nm0354795	Indrani Haldar	1971	\N	actress	tt0366993,tt0322004,tt0470301,tt3098414

nm0355910	Michael C. Hall	1971	\N	actor,producer,soundtrack	tt0248654,tt1034032,tt0773262,tt0338337

nm0356017	Rebecca Hall	1982	\N	actress,director,writer	tt0482571,tt0840361,tt0497465,tt4666726

nm0356067	Roxanne Hall	1976	\N	actress	tt0159950,tt0160093,tt0423251,tt0458594

nm0356515	Fredrik Hallgren	1973	\N	actor,writer,special_effects	tt2797278,tt5372890,tt2132829

nm0357354	Ayumi Hamasaki	1978	\N	soundtrack,actress	tt0113922,tt1098327,tt6116992,tt0475723

nm0357742	Ashley Hamilton	1974	\N	actor,soundtrack,director	tt1974420,tt7657364,tt1300854,tt0106375

nm0358240	Aleksandra Hamkalo	1988	\N	actress	tt0322896,tt0377100,tt0439389,tt2226301

nm0358922	Emily Hampshire	1981	\N	actress,soundtrack	tt3526078,tt0448124,tt3148266,tt0482527

nm0359158	Go Eun Han	1977	\N	actress	tt1880412,tt0977924,tt4543902,tt1113186

nm0359217	Han Chang	1974	\N	actor,assistant_director	tt0486480,tt6781706,tt7301224,tt8925586

nm0359534	Don Handfield	1971	\N	writer,producer,actor	tt4555364,tt4276820,tt1628055

nm0359652	Marina Hands	1975	\N	actress	tt0338135,tt0459880,tt0362225,tt0401383

nm0359728	Michael Hanegbi	1979	\N	actor,writer	tt7140686,tt0290221,tt0163262,tt3714804

nm0360628	Simone Hanselmann	1979	\N	actress	tt2358925,tt0239406,tt0810868,tt0400021

nm0361057	René Hansen	1974	\N	actor	tt1058595,tt0128007,tt0920458,tt0117645

nm0361233	David Hanson	1976	\N	actor	tt0292840,tt0111994,tt0320052,tt4914592

nm0361819	Jens Harant	1973	\N	cinematographer,camera_department,actor	tt0418873,tt4966266,tt0461836,tt6576556

nm0362484	Cory Hardrict	1979	\N	actor,producer,executive	tt1217613,tt2179136,tt1588173,tt1001508

nm0362766	Tom Hardy	1977	\N	actor,producer,writer	tt1392190,tt2692904,tt1345836,tt1375666

nm0363335	Marek Harloff	1971	\N	actor	tt0248601,tt0127894,tt0371704,tt0821060

nm0363578	Christian Harmony	1974	\N	actor,miscellaneous	tt0166252,tt0235353,tt0115988,tt0272730

nm0363596	Kelly Harms	1974	\N	actor,director,producer	tt1072431,tt3447294,tt0299076,tt2915200

nm0363652	Ricci Harnett	1973	\N	actor,writer,director	tt0289043,tt3150966,tt0901507,tt5437008

nm0364028	Thorbjørn Harr	1974	\N	actor	tt6474040,tt2306299,tt6046314,tt7280898

nm0364227	Adam J. Harrington	1972	\N	actor,miscellaneous,producer	tt2543328,tt7945720,tt0773262,tt1266020

nm0364280	Jay Harrington	1971	\N	actor	tt0338592,tt1235547,tt0400037,tt0221905

nm0364583	Danielle Harris	1977	\N	actress,director,producer	tt0102266,tt0101757,tt0095271,tt1311067

nm0365140	Naomie Harris	1976	\N	actress	tt4682786,tt1074638,tt0289043,tt4975722

nm0365650	Jenna Harrison	1981	\N	actress	tt4209174,tt0373653,tt0273850

nm0365768	Michelle Harrison	1975	\N	actress,visual_effects	tt0243736,tt0899106,tt0338337,tt0435670

nm0366355	Jody Hart	1972	\N	producer,stunts,actor	tt0362590,tt0056758,tt1843866,tt1616195

nm0366389	Kevin Hart	1979	\N	actor,producer,writer	tt2709768,tt1489889,tt1661382,tt1408253

nm0366846	Jo Hartley	1972	\N	actress,casting_department	tt0419677,tt3137630,tt1083452,tt0480025

nm0367157	Rona Hartner	1973	\N	actress,soundtrack,composer	tt0306734,tt0453384,tt0206634,tt0122082

nm0367176	Joshua Harto	1979	\N	actor,writer,producer	tt2265534,tt0371746,tt0468569,tt3682448

nm0367855	Jens Harzer	1972	\N	actor	tt3544008,tt0757248,tt0806910,tt0419666

nm0368689	Leila Hatami	1972	\N	actress	tt1832382,tt6209470,tt0116851,tt0309565

nm0368971	Eriko Hatsune	1982	\N	actress	tt0841993,tt1270842,tt2451110,tt2103264

nm0369424	Lindsey Haun	1984	\N	actress,director,soundtrack	tt0213565,tt0114852,tt0492486

nm0369513	Cole Hauser	1975	\N	actor,producer	tt0119217,tt0106677,tt0322259,tt2397255

nm0369736	Jirí Havelka	1980	\N	actor,writer,director	tt4810846,tt10583170,tt3876088,tt0349693

nm0369894	Grete Havnesköld	1986	\N	actress	tt0104761,tt0454457,tt0107444,tt0103480

nm0369954	Keeley Hawes	1976	\N	actress,soundtrack,producer	tt0795368,tt0972844,tt0462335,tt0200465

nm0370660	Tomoka Hayashi	1982	\N	actress	tt0409634,tt0405312,tt0225836,tt0209631

nm0370977	David C. Hayes	1971	\N	actor,writer,producer	tt1308675,tt0834001,tt0826532,tt3884426

nm0371245	Taylor Hayes	1975	\N	actress	tt0309583,tt0160852,tt0775507,tt0282635

nm0371867	Plutarco Haza	1972	\N	actor,director,writer	tt0896709,tt2777882,tt0764952,tt0271896

nm0372049	Hotaru Hazuki	1971	\N	actress	tt0287656,tt3221334,tt3583936,tt5252768

nm0372176	Lena Headey	1973	\N	actress,soundtrack,producer	tt0416449,tt0944947,tt1343727,tt1374989

nm0372366	Pat Healy	1971	\N	actor,writer,director	tt1594562,tt1971352,tt2389182,tt6294822

nm0373001	Desmon Heck	1977	\N	actor,producer,director	tt5320860,tt2418104,tt9611872,tt2431582

nm0373914	Mark Heidelberger	1977	\N	producer,production_manager,actor	tt3085500,tt4394104,tt5213870,tt0433387

nm0374865	Simon Helberg	1980	\N	actor,soundtrack,producer	tt0898266,tt4136084,tt1019452,tt0302886

nm0375631	Luise Helm	1983	\N	actress,director,writer	tt6098794,tt0119482,tt0382787,tt0806910

nm0375799	Unto Helo	1978	\N	actor,soundtrack	tt2300873,tt0342520,tt0965400,tt0168123

nm0375860	Benjamin Helstad	1987	\N	actor,director,writer	tt4738360,tt0116681,tt10314848,tt1332134

nm0376655	Daniel Hendler	1976	\N	actor,director,writer	tt1365491,tt1568816,tt5070076,tt0248001

nm0376716	Christina Hendricks	1975	\N	actress,soundtrack	tt0804503,tt1974419,tt2115295,tt2366608

nm0376860	Maryke Hendrikse	1979	\N	actress,soundtrack,miscellaneous	tt3529198,tt0962826,tt0807655,tt1700841

nm0377336	Aksel Hennie	1975	\N	actor,producer,director	tt1614989,tt0384639,tt1267297,tt1029235

nm0377603	Paw Henriksen	1975	\N	actor	tt2264587,tt0246370,tt0400156,tt1340107

nm0377888	Justin Henry	1971	\N	actor,soundtrack	tt1217239,tt0079417,tt0087685,tt0088128

nm0378200	Darrin Dewitt Henson	1972	\N	actor,producer,director	tt0469903,tt0775539,tt0411951,tt0248655

nm0379596	Jay Hernandez	1978	\N	actor,producer	tt0450278,tt1386697,tt1135084,tt0390022

nm0379609	Jonathan Hernandez	1983	\N	actor	tt0109254,tt0115292,tt0825232,tt0113896

nm0379782	Hans Hernke	1981	\N	miscellaneous,actor,producer	tt1307445,tt5135646,tt0421239,tt1636826

nm0380442	Joe Herrera	1973	\N	actor,miscellaneous,producer	tt4906920,tt8310062,tt5804314,tt4318048

nm0381283	Eva Herzigova	1973	\N	actress,costume_designer,producer	tt0367188,tt0112366,tt3038006,tt0174646

nm0381342	Hannah Herzsprung	1981	\N	actress	tt0461694,tt3042408,tt0765432,tt0976051

nm0381493	Julie Hess	1981	\N	actress,writer,director	tt0359225,tt0216913,tt0282350,tt0113751

nm0383023	Saya Hidaka	1975	\N	actress	tt0187171,tt0183256,tt0190479

nm0383154	Jimi Pääkallo	1981	\N	soundtrack,actor,sound_department	tt0342520,tt1600272,tt0965400,tt0168123

nm0383609	Ahmo Hight	1973	\N	actress	tt0183197,tt0112112,tt0198893,tt1310944

nm0383674	Asuka Higuchi	1976	\N	actress	tt0386005,tt0874635,tt0184526,tt0485976

nm0384211	Dulé Hill	1975	\N	actor,producer,soundtrack	tt0406816,tt0311289,tt0200276,tt0491738

nm0384751	Victoria Hill	1971	\N	actress,producer,writer	tt0434541,tt9252488,tt6053438,tt0775486

nm0385296	Paris Hilton	1981	\N	producer,actress,writer	tt0804492,tt0397065,tt0963194,tt0417056

nm0385391	Aaron Himelstein	1985	\N	actor,producer,writer	tt0455791,tt0490076,tt2395427,tt0295178

nm0385710	Robin Hines	1977	\N	actress,producer,production_manager	tt0844441,tt0834939,tt5025254,tt1020167

nm0385887	Jan Hinrichsen	1976	\N	actor	tt0105445,tt0105848,tt0090440

nm0386215	Gina Hiraizumi	1980	\N	actress,producer	tt3487356,tt7365596,tt1219024,tt10337562

nm0386414	Ryôko Hirosue	1980	\N	actress	tt0118536,tt1069238,tt0281364,tt0211413

nm0386472	Emile Hirsch	1985	\N	actor,soundtrack,art_department	tt0758758,tt0811080,tt1013753,tt0265208

nm0386645	Hallee Hirsh	1987	\N	actress,producer,soundtrack	tt0433275,tt0128853,tt0378793,tt0119558

nm0387319	Josie Ho	1974	\N	actress,producer,miscellaneous	tt4076164,tt3730518,tt1407972

nm0387363	Peter Ho	1975	\N	actor,producer,soundtrack	tt1717715,tt9586376,tt8931836,tt0170626

nm0387470	Junie Hoang	1971	\N	actress,producer,assistant_director	tt0346369,tt0144069,tt7049682,tt0094415

nm0387832	Philipp Hochmair	1973	\N	actor	tt0250258,tt3441816,tt0371704,tt4352342

nm0388473	Vegar Hoel	1973	\N	actor,director,writer	tt1278340,tt1536537,tt2832470,tt1428538

nm0388933	Jake Hoffman	1981	\N	actor,director,writer	tt4195994,tt4180560,tt0993846,tt0389860

nm0389881	Gabriel Harrison	1972	\N	actor	tt0293660,tt4143626,tt0345369,tt0351694

nm0390285	Kris Holden-Ried	1973	\N	actor,director	tt0176783,tt2306299,tt1496025,tt0267626

nm0391274	Laurel Holloman	1971	\N	actress	tt0330251,tt0162065,tt0118749,tt0113416

nm0392073	Tina Holmes	1973	\N	actress,producer	tt0248654,tt0942384,tt2093968,tt0468489

nm0393535	Randeep Hooda	1976	\N	actor,director,writer	tt5120640,tt1395054,tt2980794,tt4170186

nm0393655	Brian Hooks	1973	\N	actor,producer,director	tt0462160,tt0145660,tt0770752,tt0124901

nm0393700	Jeremy Hoop	1972	\N	actor	tt0330136,tt2144001,tt0268200,tt5689374

nm0394014	Lincoln Hoppe	1971	\N	actor,writer,producer	tt0306069,tt7161862,tt2082415

nm0394045	Tamara Hope	1984	\N	actress	tt0463850,tt0358135,tt0393529,tt2554274

nm0394191	Jermaine 'Huggy' Hopkins	1973	\N	actor	tt0112220,tt0097722,tt0104573,tt0119326

nm0394834	Gabriel Horn	1978	\N	actor,producer,writer	tt1383702,tt1859810,tt2397573,tt0985060

nm0394889	Michelle Horn	1987	\N	actress,soundtrack	tt0106145,tt0323120,tt0252019,tt0340163

nm0395078	Wil Horneff	1979	\N	actor	tt0111792,tt0113533,tt0108037,tt0098844

nm0395168	Silke	1974	\N	actress	tt0218741,tt0261521,tt0251777,tt0117909

nm0395203	Russell Hornsby	1974	\N	actor	tt0212338,tt5580266,tt2671706,tt0367479

nm0395531	Silvio Horta	1974	\N	writer,producer,actor	tt0805669,tt0146336,tt0242733,tt0367344

nm0395536	Antonio Hortelano	1975	\N	actor	tt0349856,tt0349248,tt2219163,tt0124938

nm0395950	Sôichirô Hoshi	1972	\N	actor,soundtrack	tt0366848,tt0374407,tt0434694,tt1263228

nm0395972	Mari Hoshino	1981	\N	actress	tt0491136,tt1478965,tt0418778,tt1461300

nm0396093	Shigeki Hosokawa	1971	\N	actor	tt0454653,tt1492850,tt0758742,tt0810827

nm0396125	Nina Hoss	1975	\N	actress,soundtrack	tt0806686,tt2178941,tt1972571,tt2764784

nm0396514	Kevin Houle	1983	\N	actor,composer,sound_department	tt11151344,tt0446233,tt0485149,tt0277120

nm0396558	Nicholas Hoult	1989	\N	actor,soundtrack	tt1877832,tt0276751,tt1588173,tt1392190

nm0396687	Mel House	1976	\N	producer,writer,actor	tt4877668,tt5798432,tt1245111,tt0305563

nm0396867	Marques Houston	1981	\N	actor,soundtrack,producer	tt0329101,tt0108927,tt0365957,tt0396592

nm0397171	Bryce Dallas Howard	1981	\N	actress,director,writer	tt1800302,tt1454029,tt0369610

nm0397928	Anthony Howell	1971	\N	actor,cinematographer,miscellaneous	tt5057130,tt2404425,tt3391132,tt0310455

nm0398852	Vivian Hsu	1975	\N	actress,producer,soundtrack	tt0768137,tt0445609,tt7782570,tt1857913

nm0399012	Kun-Hsuan Huang	1978	\N	actor	tt0106181,tt0098694,tt10458570,tt0097791

nm0399053	Mickey Huang	1972	\N	actor,director,writer	tt11096738,tt0168973,tt11098236,tt1379169

nm0399062	Yi Huang	1979	\N	actress,soundtrack	tt2165735,tt1993428,tt1896767,tt1641638

nm0399170	Erica Hubbard	1979	\N	actress,producer,director	tt4655480,tt9033386,tt0356470,tt0775374

nm0399878	Charlie Parker-Swift	1984	\N	actor,producer,writer	tt0088512,tt0184122,tt6010920,tt3663490

nm0401264	Michiel Huisman	1981	\N	actor,soundtrack	tt1655441,tt5111414,tt0944947,tt1279972

nm0401522	Lachy Hulme	1971	\N	actor,writer,director	tt1448755,tt0242653,tt1530541,tt2827412

nm0401872	Julia Hummer	1980	\N	actress,composer,music_department	tt0215681,tt0806910,tt0248103,tt1321865

nm0401945	Renée Humphrey	1975	\N	actress,casting_director,producer	tt0113749,tt0113117,tt0109855,tt0261392

nm0402116	Cemal Hünal	1976	\N	actor,assistant_director	tt1322930,tt0216250,tt2261277,tt1147691

nm0402175	Catherine Yan Hung	1971	\N	actress	tt0109947,tt0903904,tt0111800,tt0845413

nm0402271	Charlie Hunnam	1980	\N	actor,writer,producer	tt1972591,tt1124373,tt1663662,tt2554274

nm0403926	Matthew Robert Kelly	1972	\N	actor,producer,writer	tt1479398,tt0449089,tt0248110,tt1675439

nm0403937	Adam Huss	1977	\N	actor,producer,writer	tt0092325,tt6187620,tt0364845,tt3281796

nm0404067	Eva Husson	1977	\N	director,writer,actress	tt6704880,tt3838728,tt0405020,tt2848756

nm0404307	Anna Hutchison	1986	\N	actress	tt1259521

nm0404587	Xaver Hutter	1976	\N	actor	tt0183246,tt0282288,tt7397604,tt0498186

nm0404806	Fedja van Huêt	1973	\N	actor	tt0974323,tt0119448,tt0205738,tt1606789

nm0405379	Saana Hyvärinen	1977	\N	actress	tt1170962,tt0239804,tt0359564,tt4087972

nm0405402	Krystof Hádek	1982	\N	actor,soundtrack	tt1305837,tt3650290,tt0244479,tt1441395

nm0405976	Mavie Hörbiger	1979	\N	actress	tt0279885,tt0293972,tt0253839,tt0806910

nm0406012	Judith Hoersch	1981	\N	actress,writer	tt1321331,tt5713908,tt3130560,tt3062170

nm0406732	Mikako Ichikawa	1978	\N	actress	tt4262980,tt0340410,tt0326773,tt0409860

nm0406881	Ahmad Idham	1974	\N	director,writer,actor	tt1130891,tt1932701,tt2653258,tt1606304

nm0407507	Hiroyuki Ikeuchi	1976	\N	actor,director	tt0209631,tt1477109,tt1220719,tt0882739

nm0407514	Chizuru Ikewaki	1981	\N	actress	tt0347618,tt0204523,tt3039932,tt0416881

nm0407516	Haruna Ikezawa	1975	\N	actress	tt0267116,tt0221778,tt0181421,tt0838158

nm0408075	Rie Imamura	1978	\N	actress	tt0230780,tt0242486,tt0229715,tt0130395

nm0408346	Gorô Inagaki	1973	\N	actor	tt1436045,tt2532272,tt0119860,tt1714813

nm0408375	Izumi Inamori	1972	\N	actress	tt1118529,tt0132019,tt0442734,tt0297721

nm0409050	Frankie Ingrassia	1978	\N	actress,director,producer	tt0126886,tt4687880,tt7400952,tt0107861

nm0409276	Harumi Inoue	1974	\N	actress	tt0266555,tt1114757,tt0208178,tt0316599

nm0409430	Manu Intiraymi	1978	\N	actor,producer,writer	tt1616195,tt0112178,tt8652584,tt0139239

nm0410127	Britt Irvin	1984	\N	actress,producer,soundtrack	tt1126590,tt0905357,tt0118480,tt0787475

nm0410622	Katharine Isabelle	1981	\N	actress	tt0329101,tt1959332,tt0278504,tt0210070

nm0410832	Yûsuke Iseya	1976	\N	actor,director,writer	tt0405821,tt0366659,tt0861689,tt1436045

nm0411508	Leon Bashir	1979	\N	actor,writer,director	tt1002892,tt1553935,tt6548388,tt0469443

nm0411523	Tatiana Issa	1974	\N	producer,director,actress	tt4421350,tt5517966,tt5532198,tt1532945

nm0411568	Martha Issová	1981	\N	actress,soundtrack,writer	tt3037336,tt1730768,tt0977666,tt1303215

nm0411569	Klára Issová	1979	\N	actress,soundtrack,miscellaneous	tt3609402,tt5673782,tt2402137,tt1961438

nm0411683	Ayumi Itô	1980	\N	actress	tt0481507,tt0385700,tt0117797,tt0468846

nm0411692	Hideaki Itô	1975	\N	actor,talent_agent	tt5882982,tt2294473,tt2053339

nm0411725	Misaki Itô	1977	\N	actress	tt0395076,tt0364385,tt0467709,tt0366629

nm0411794	Kentarô Itô	1974	\N	actor	tt1999167,tt0409591,tt0247514,tt0434665

nm0413245	Aaron Jackson	1973	\N	actor,producer,director	tt10643148,tt7271866,tt3600468,tt10771230

nm0414571	Parker Jacobs	1975	\N	actor,visual_effects,writer	tt0098084,tt0094582,tt0877512,tt0090406

nm0416918	Scot Bowman	1975	\N	actor,writer	tt0153507,tt0194700,tt0358673,tt0190487

nm0417347	Dávid Jancsó	1982	\N	editor,editorial_department,actor	tt8723836,tt1425250,tt2844798,tt0899128

nm0417520	Dong-Gun Jang	1972	\N	actor	tt3697566,tt1032751,tt0386064,tt0281718

nm0417532	Jin-young Jang	1974	2009	actress	tt0870969,tt0371226,tt0409811,tt0294929

nm0417924	Anna Yanovskaya	1971	\N	actress,director,writer	tt3789986,tt0120229,tt2871286,tt8691424

nm0418379	Samantha Womack	1972	\N	actress,soundtrack	tt2802144,tt0239303,tt4649466,tt0088512

nm0419005	Joris Jarsky	1974	\N	actor,camera_department	tt0800080,tt1300851,tt1132626,tt0861689

nm0419389	Pascal Jaubert	1975	\N	actor,writer,director	tt1622555,tt0196289,tt2136709,tt1650515

nm0419796	Borys Jaznicki	1974	\N	actor,writer	tt6379992,tt10066646,tt0281019,tt0239098

nm0420792	Burgess Jenkins	1973	\N	actor,producer,director	tt2281375,tt0859592,tt0210945,tt0368530

nm0421716	Tomas Villum Jensen	1971	\N	actor,director,writer	tt0329380,tt0180748,tt0116214,tt0290006

nm0422205	Sebastian Jessen	1986	\N	actor	tt2146660,tt1854236,tt5062938,tt1526318

nm0422504	Nenad Jezdic	1972	\N	actor	tt0269174,tt0455274,tt1213888,tt0238649

nm0422566	Preeti Jhangiani	1980	\N	actress,producer	tt0213890,tt0240084,tt1630282,tt0827714

nm0422586	Ayesha Jhulka	1972	\N	actress	tt0104561,tt0233422,tt0357821,tt0366169

nm0422779	Joyce Jimenez	1978	\N	actress	tt0305301,tt0325598,tt0291742,tt0291760

nm0422998	Lucía Jiménez	1978	\N	actress,soundtrack,miscellaneous	tt0122335,tt0455584,tt2009776,tt0115772

nm0423307	Joel Joan	1971	\N	actor,writer,director	tt0352089,tt0390672,tt0429413,tt2125514

nm0423414	Maz Jobrani	1972	\N	actor,producer,writer	tt0337563,tt3135556,tt0293815,tt0259288

nm0423935	Erik Johansson	1979	\N	actor,producer,soundtrack	tt3632248,tt0268297,tt1794886,tt1510918

nm0424060	Scarlett Johansson	1984	\N	actress,soundtrack,producer	tt1798709,tt1441395,tt0335266,tt0848228

nm0424103	Karan Johar	1972	\N	producer,actor,writer	tt0347304,tt1188996,tt0248126,tt0172684

nm0424118	John 5	1971	\N	soundtrack,actor,composer	tt0229260,tt0450314,tt0120681,tt1731697

nm0424216	Johnny Knoxville	1971	\N	writer,producer,actor	tt3063516,tt1291150,tt0377818,tt0267891

nm0424762	Cherie Johnson	1975	\N	actress,producer,writer	tt0918529,tt0096579,tt0462160,tt0086787

nm0425005	Dwayne Johnson	1972	\N	actor,producer,soundtrack	tt1583421,tt3521164,tt1397514,tt2283362

nm0425053	Eric Johnson	1979	\N	actor,director,writer	tt2937900,tt4465564,tt0279600,tt0110322

nm0427379	Kristoffer Joner	1972	\N	actor,director,producer	tt1663202,tt0453383,tt1223897,tt3616916

nm0427521	Ashley Jones	1976	\N	actress,producer	tt0884732,tt0302886,tt0092325,tt0069658

nm0428319	Jason Jones	1973	\N	actor,producer,writer	tt4903242,tt0342505,tt0881891,tt1661875

nm0429114	Richard T. Jones	1972	\N	actor,producer	tt0119081,tt0369339,tt0443274,tt0183649

nm0429465	William James Jones	1975	\N	actor,soundtrack	tt0116253,tt0115320,tt0107696,tt0103380

nm0429790	Jorane	1975	\N	composer,soundtrack,actress	tt0281924,tt0250797,tt0220955,tt0463385

nm0430005	Jeremy Jordan	1973	\N	actor,soundtrack,composer	tt0135659,tt0113627,tt0160229,tt0151738

nm0430107	Michael B. Jordan	1987	\N	actor,producer,director	tt1502712,tt3076658,tt2334649,tt1825683

nm0430817	Sharman Joshi	1979	\N	actor,soundtrack	tt0495034,tt1087856,tt1187043,tt0405508

nm0430952	Patrick Joswig	1975	\N	actor	tt0835962,tt0282288,tt4675172,tt0108979

nm0431701	Jin-mo Ju	1974	\N	actor	tt3322566,tt0275083,tt1155053,tt0940642

nm0431940	Judith Kostner	1976	\N	actress	tt1858748,tt7366360,tt7459964,tt0192533

nm0432039	Arthur Jugnot	1980	\N	actor,art_director	tt1463450,tt0806887,tt6272384,tt0340137

nm0432178	Raul Julia-Levy	1971	\N	actor,producer,writer	tt2357776,tt0238948,tt0452597,tt1731690

nm0432228	Alessandro Juliani	1975	\N	actor,soundtrack,composer	tt3450958,tt1338724,tt0409459,tt0460745

nm0432257	Christophe Julien	1972	\N	composer,music_department,actor	tt5258850,tt0424205,tt4216902,tt0996983

nm0432428	Ji-Hyun Jun	1981	\N	actress,writer,soundtrack	tt0293715,tt3469052,tt0409072,tt0806027

nm0432429	Mi-seon Jeon	1972	2019	actress	tt1216496,tt0353969,tt3155654,tt0276818

nm0432601	Woo-sung Jung	1973	\N	actor,producer	tt0428870,tt5918028,tt0901487,tt6769508

nm0432753	Caio Junqueira	1976	2019	actor	tt0137546,tt0861739,tt0288464,tt0140888

nm0432934	Zvonimir Juric	1971	\N	director,actor,writer	tt1372687,tt1604944,tt0117160,tt3833134

nm0433392	Jyotika	1978	\N	actress	tt1034053,tt0449869,tt0361818,tt4684258

nm0433519	Maria Järvenhelmi	1975	\N	actress,soundtrack	tt1919184,tt0249131,tt2073137,tt1836210

nm0433617	Peter Jöback	1971	\N	actor,writer,soundtrack	tt4600404,tt10504966,tt2077886,tt0181518

nm0434037	Zoltan Kabai	1972	\N	actor	tt0110214,tt0125344,tt5972474,tt0283976

nm0434526	Heather Kafka	1972	\N	actress	tt0324216,tt0387808,tt2382396

nm0434673	Richard Kahan	1980	\N	actor,miscellaneous,producer	tt7890256,tt3006802,tt5859238

nm0434968	Christian Kahrmann	1972	\N	actor	tt0088554,tt0251114,tt0135790,tt0238380

nm0435358	Yumi Kakazu	1973	\N	actress	tt0421357,tt0385700,tt0434665,tt0322968

nm0435509	Alaina Huffman	1980	\N	actress,producer	tt7772580,tt0279600,tt0460681,tt0866432

nm0436302	Pawan Kalyan	1971	\N	actor,stunts,music_department	tt2091384,tt1191121,tt3042926,tt2304655

nm0436442	Iván Kamarás	1972	\N	actor,cinematographer,producer	tt3079380,tt2058710,tt0411477,tt1606378

nm0436778	Hiroshi Kamiya	1975	\N	actor,soundtrack	tt6069250,tt3138698,tt0316975,tt1480925

nm0437283	Christian Kane	1972	\N	actor,soundtrack,producer	tt0305711,tt1103987,tt0327137,tt0390022

nm0437580	Takeshi Kaneshiro	1973	\N	actor,music_department,miscellaneous	tt0425637,tt0385004,tt0112913,tt0109424

nm0437816	Miho Kanno	1977	\N	actress	tt0330229,tt2290573,tt0240119,tt0794338

